source_table	id	material_code	material_name	thickness	width	available_area	available_rolls
film	1	BOPPM-T25	BOPP鍘熻啘	25.000	1040	64220.00	100
film	2	BOPPM-T37	BOPP鍘熻啘	37.000	1040	37284.00	60
film	3	BOPPM-T50	BOPP鍘熻啘,鍘氬害50u	50.000	NULL	22256.00	35
film	4	BOPPM-T60	BOPP鍘熻啘	60.000	NULL	8320.00	15
film	5	GLXZ-S90Y	鍙岀鎺ユ媺涓濈焊(1:2)	90.000	1040	29211.00	50
film	6	NPZ-D105	鍗曠鐗涚毊绾?105.000	1040	3120.00	5
film	7	OPSM-40um	OPS鏀剁缉鑶?40.000	NULL	46900.00	75
film	8	OPSM-50um	OPS閫忔槑鑶?50.000	NULL	31960.00	50
film	9	PELXM-100B	PE绂诲瀷鑶?100.000	1070	1177.00	2
film	10	PELXM-60B	PE绂诲瀷鑶?60.000	1070	1926.00	3
tape	53	1011-R02-0903-B05-0300	12渭m钃濊壊PET缁堟鑳跺甫	12.000	1000	NULL	60
tape	54	1011-R02-0903-B05-0300	12渭m钃濊壊PET缁堟鑳跺甫	12.000	1000	NULL	50
tape	51	1011-R02-0903-G03-0300	12渭鏃犳満缈犵豢PET鑳跺甫	12.000	1200	NULL	40
tape	52	1011-R02-0903-G03-0300	12渭鏃犳満缈犵豢PET鑳跺甫	12.000	1200	NULL	35
